Datasets;#instances;#features;inst/feat;maj/min;RF_UC;RF_PS;RF_VA;X_UC;X_PS;X_VA;RF_UC;RF_PS;RF_VA;X_UC;X_PS;X_VA;RF_UC;RF_PS;RF_VA;X_UC;X_PS;X_VA;RF_UC;RF_PS;RF_VA;X_UC;X_PS;X_VA;RF_UC;RF_PS;RF_VA;X_UC;X_PS;X_VA;RF_UC;RF_PS;RF_VA;X_UC;X_PS;X_VA;RF_UC;RF_PS;RF_VA;X_UC;X_PS;X_VA;RF_UC;RF_PS;RF_VA;X_UC;X_PS;X_VA;;;;;;;;;;;
colic;375;59;6.36;1.66;.837;.826;.824;.840;.832;.824;.754;.755;.749;.755;.725;.750;.062;.031;.024;.093;.057;.036;.402;.405;.412;.476;.410;.405;.095;.081;.072;.110;.127;.091;.083;.043;.042;.094;.037;.032;.759;1.703;1.452;1.838;1.849;1.416;.425;.400;.405;.621;.403;.401;;;;;;;;;;;
creditA;690;42;16.43;1.25;.850;.847;.834;.845;.854;.832;.772;.731;.769;.766;.540;.731;.031;.025;.045;.098;.064;.061;.416;.377;.382;.501;.418;.406;.075;.073;.092;.133;.172;.153;.045;.031;.050;.090;.058;.060;.797;.990;1.018;1.267;1.250;1.113;.358;.372;.375;.842;.411;.402;;;;;;;;;;;
diabetes;768;8;96.00;1.87;.759;.754;.758;.736;.736;.715;.728;.728;.707;.714;.673;.730;.018;.049;.036;.162;.044;.046;.493;.497;.503;.733;.545;.530;.030;.035;.025;.101;.038;.034;.041;.040;.053;.095;.060;.036;.549;.621;.541;1.311;.562;.560;.482;.484;.485;.986;.517;.509;;;;;;;;;;;
german;955;27;35.37;2.37;.667;.702;.700;.623;.704;.703;.641;.614;.618;.635;.550;.574;.091;.019;.007;.198;.009;.009;.657;.596;.590;.843;.605;.601;.065;.007;.036;.181;.017;.020;.056;.021;.027;.167;.013;.008;.727;.600;.605;2.573;.607;.608;.607;.597;.593;1.039;.605;.601;;;;;;;;;;;
haberman;283;3;94.33;2.58;.670;.719;.718;.587;.721;.721;.642;.624;.646;.599;.457;.542;.144;.041;.043;.307;.068;.077;.710;.580;.576;1.167;.621;.600;.116;.061;.055;.199;.042;.090;.081;.051;.025;.132;.035;.054;1.303;.597;.591;2.553;.611;.615;.926;.584;.577;1.463;.603;.594;;;;;;;;;;;
heartC;302;22;13.73;1.19;.826;.822;.811;.788;.778;.772;.773;.750;.747;.785;.705;.743;.042;.025;.031;.133;.047;.038;.396;.410;.430;.581;.485;.474;.060;.070;.064;.066;.062;.065;.062;.051;.060;.117;.077;.055;.614;1.025;.634;1.356;1.175;.673;.399;.401;.410;.995;.450;.453;;;;;;;;;;;
heartH;293;20;14.65;1.76;.789;.811;.788;.720;.771;.768;.766;.716;.739;.746;.630;.651;.051;.036;.059;.183;.056;.074;.466;.444;.450;.783;.517;.521;.040;.059;.091;.134;.125;.097;.056;.052;.075;.133;.043;.067;.643;.639;.580;3.058;1.805;1.104;.422;.429;.448;1.754;.508;.515;;;;;;;;;;;
heartS;270;13;20.77;1.25;.830;.819;.810;.807;.804;.793;.759;.716;.706;.774;.647;.705;.042;.073;.070;.118;.080;.076;.417;.429;.452;.532;.478;.470;.093;.083;.073;.087;.080;.072;.055;.071;.069;.078;.079;.086;.669;.795;.691;1.482;.695;.569;.419;.529;.540;1.146;.450;.452;;;;;;;;;;;
hepati;155;19;8.16;3.84;.834;.826;.825;.800;.813;.768;.826;.797;.811;.799;.735;.804;.039;.073;.075;.121;.077;.119;.347;.386;.391;.538;.443;.443;.040;.080;.125;.158;.115;.128;.027;.081;.074;.108;.079;.135;.378;.586;.634;2.142;1.322;1.331;.365;.398;.397;1.075;.432;.441;;;;;;;;;;;
iono;350;33;10.61;1.80;.937;.930;.923;.909;.911;.914;.863;.837;.846;.852;.680;.747;.049;.041;.061;.067;.041;.071;.217;.203;.231;.269;.270;.285;.080;.033;.079;.060;.050;.075;.061;.037;.071;.050;.032;.070;.224;.297;.241;.512;.439;.279;.215;.202;.230;.261;.261;.280;;;;;;;;;;;
